discipline,name,country,date_of_birth,qualification_time
200m Backstroke Men,"NAUMENKO Vadym",UKR,2003-01-23,120.3
200m Backstroke Men,FERS ERZEN Anze,SLO,1999-03-03,120.35
200m Backstroke Men,MIRA ALBALADEJO Diego,ESP,2001-09-05,120.45
200m Backstroke Men,DANZIGER Inbar,ISR,2004-01-01,120.91
200m Backstroke Men,FRANTA Tomas,CZE,1998-04-18,123.19
200m Backstroke Men,MARAANA Adam,ISR,2003-07-07,123.67
200m Backstroke Men,LAVDANITI Zhulian,ALB,2003-03-17,126.77
200m Backstroke Men,CHMIELEWSKI Michal,POL,2004-11-18,127.07
200m Backstroke Men,SHKURTI Kevin,ALB,2004-02-25,NA
200m Backstroke Men,WILBY Mason J,GBR,1999-11-18,NA
50m Breaststroke Men,MARTINENGHI Nicolo',ITA,1999-08-01,26.48
50m Breaststroke Men,KOZAKIEWICZ Jan,POL,1996-02-24,26.82
50m Breaststroke Men,CERASUOLO Simone,ITA,2003-06-22,26.85
50m Breaststroke Men,REITSHAMMER Bernhard,AUT,1994-06-17,26.94
50m Breaststroke Men,SCOZZOLI Fabio,ITA,1988-08-03,26.97
50m Breaststroke Men,MATZERATH Lucas,GER,2000-05-03,26.99
50m Breaststroke Men,PITSHUGIN Kristian,ISR,2001-07-18,27.07
50m Breaststroke Men,WILBY James,GBR,1993-11-12,27.16
50m Breaststroke Men,POGGIO Federico,ITA,1998-04-24,27.23
50m Breaststroke Men,STEVENS Peter John,SLO,1995-06-01,27.32
50m Breaststroke Men,SIDLAUSKAS Andrius,LTU,1997-04-06,27.39
50m Breaststroke Men,LIA Nicholas,NOR,2001-02-13,27.41
50m Breaststroke Men,BRATHEN Joergen,NOR,1995-04-05,27.54
50m Breaststroke Men,ASPOUGALIS Arkadios-Geor,GRE,2001-02-21,27.55
50m Breaststroke Men,BUTLER Gregory,GBR,2000-12-31,27.59
50m Breaststroke Men,KOKKO Olli,FIN,1994-04-18,27.6
50m Breaststroke Men,LISOVETS' Volodymyr,UKR,2004-05-30,27.62
50m Breaststroke Men,SABEV Tonislav,BUL,2002-12-13,27.63
50m Breaststroke Men,ZIVANOVIC Uros,SRB,2005-06-30,27.64
50m Breaststroke Men,GIGLER Heiko,AUT,1996-06-17,27.65
50m Breaststroke Men,MERETSOLIAS Konstantinos,GRE,1998-08-23,27.65
50m Breaststroke Men,AITKACI Carl,FRA,2001-06-08,27.66
50m Breaststroke Men,SKORA Bartosz,POL,2003-08-05,27.68
50m Breaststroke Men,VIQUERAT Antoine,FRA,1998-10-05,27.68
50m Breaststroke Men,BAYER Valentin,AUT,1999-11-08,27.77
50m Breaststroke Men,HAARSAKER Christoffer To,NOR,1993-05-03,27.86
50m Breaststroke Men,CORBY Eoin,IRL,2002-01-16,27.99
50m Breaststroke Men,OVCHINNIKOV Maksym,UKR,2003-05-18,27.99
50m Breaststroke Men,RAEISAENEN Daniel,SWE,1999-01-03,28.05
50m Breaststroke Men,EPITROPOV Lyubomir E,BUL,1999-04-27,28.13
50m Breaststroke Men,GREENE Darragh,IRL,1995-10-20,28.15
50m Breaststroke Men,LIUKKONEN Ari-Pekka,FIN,1989-02-09,28.2
50m Breaststroke Men,IAKOVIDIS Markos,CYP,2000-09-28,28.22
50m Breaststroke Men,PANARETOS Panayiotis,CYP,2002-04-20,28.22
50m Breaststroke Men,THOMOGLOU Savvas,GRE,2001-11-09,28.31
50m Breaststroke Men,MALACHI Constantin,MDA,1997-04-11,28.43
50m Breaststroke Men,ZABOJNIK Matej,CZE,2000-08-03,28.53
50m Breaststroke Men,HOFF Oskar,SWE,1998-12-13,28.6
50m Breaststroke Men,MLADENOVIC Luka,AUT,2004-05-27,28.6
50m Breaststroke Men,SAVICKAS Aleksas,LTU,2003-01-13,28.63
50m Breaststroke Men,HASSLING Emil,SWE,2000-06-24,28.7
50m Breaststroke Men,TKACHUK Maksym,UKR,2003-07-04,28.94
50m Breaststroke Men,SVET Denis,MDA,2004-03-14,29.11
50m Breaststroke Men,KYZYMENKO David,UKR,2004-10-05,29.13
50m Breaststroke Men,BOBROVS Daniils,LAT,1997-10-08,29.15
50m Breaststroke Men,ERADZE Luka,GEO,2002-06-27,29.18
50m Breaststroke Men,CASADEI Giacomo,SMR,2002-05-23,29.4
50m Breaststroke Men,STAFRACE Raoul,MLT,1996-07-16,30.59
100m Breaststroke Men,KAMMINGA Arno,NED,1995-10-22,57.8
100m Breaststroke Men,MARTINENGHI Nicolo',ITA,1999-08-01,58.26
100m Breaststroke Men,WILBY James,GBR,1993-11-12,58.58
100m Breaststroke Men,SIDLAUSKAS Andrius,LTU,1997-04-06,59.3
100m Breaststroke Men,MATZERATH Lucas,GER,2000-05-03,59.31
100m Breaststroke Men,POGGIO Federico,ITA,1998-04-24,59.33
100m Breaststroke Men,CORBY Eoin,IRL,2002-01-16,59.99
100m Breaststroke Men,MATTSSON Matti,FIN,1993-10-05,59.99
100m Breaststroke Men,REITSHAMMER Bernhard,AUT,1994-06-17,60.03
100m Breaststroke Men,BUTLER Gregory,GBR,2000-12-31,60.04
100m Breaststroke Men,CASTELLO Andrea,ITA,1998-08-29,60.06
100m Breaststroke Men,CERASUOLO Simone,ITA,2003-06-22,60.08
100m Breaststroke Men,BAYER Valentin,AUT,1999-11-08,60.14
100m Breaststroke Men,GREENE Darragh,IRL,1995-10-20,60.2
100m Breaststroke Men,LISOVETS' Volodymyr,UKR,2004-05-30,60.28
100m Breaststroke Men,DESPLANCHES Jeremy,SUI,1994-08-07,60.29
100m Breaststroke Men,PITSHUGIN Kristian,ISR,2001-07-18,60.33
100m Breaststroke Men,RAEISAENEN Daniel,SWE,1999-01-03,60.36
100m Breaststroke Men,KOZAKIEWICZ Jan,POL,1996-02-24,60.38
100m Breaststroke Men,VIQUERAT Antoine,FRA,1998-10-05,60.49
100m Breaststroke Men,WIEKIERA Dawid,POL,2002-11-04,60.51
100m Breaststroke Men,SABEV Tonislav,BUL,2002-12-13,60.61
100m Breaststroke Men,ROTHBAUER Christopher,AUT,1998-01-29,60.63
100m Breaststroke Men,EPITROPOV Lyubomir E,BUL,1999-04-27,60.7
100m Breaststroke Men,AITKACI Carl,FRA,2001-06-08,60.77
100m Breaststroke Men,MCKEE Anton Sveinn,ISL,1993-12-18,60.8
100m Breaststroke Men,MERETSOLIAS Konstantinos,GRE,1998-08-23,60.83
100m Breaststroke Men,ZABOJNIK Matej,CZE,2000-08-03,60.89
100m Breaststroke Men,THOMOGLOU Savvas,GRE,2001-11-09,61.1
100m Breaststroke Men,SAVICKAS Aleksas,LTU,2003-01-13,61.29
100m Breaststroke Men,ASPOUGALIS Arkadios-Geor,GRE,2001-02-21,61.55
100m Breaststroke Men,MLADENOVIC Luka,AUT,2004-05-27,61.55
100m Breaststroke Men,TKACHUK Maksym,UKR,2003-07-04,61.55
100m Breaststroke Men,HAARSAKER Christoffer To,NOR,1993-05-03,61.65
100m Breaststroke Men,SKORA Bartosz,POL,2003-08-05,61.68
100m Breaststroke Men,ZIVANOVIC Uros,SRB,2005-06-30,61.69
100m Breaststroke Men,PANARETOS Panayiotis,CYP,2002-04-20,61.7
100m Breaststroke Men,OVCHINNIKOV Maksym,UKR,2003-05-18,61.76
100m Breaststroke Men,KOKKO Olli,FIN,1994-04-18,61.93
100m Breaststroke Men,BRATHEN Joergen,NOR,1995-04-05,62.4
100m Breaststroke Men,KYZYMENKO David,UKR,2004-10-05,62.41
100m Breaststroke Men,BOBROVS Daniils,LAT,1997-10-08,62.76
100m Breaststroke Men,MALACHI Constantin,MDA,1997-04-11,63.08
100m Breaststroke Men,SVET Denis,MDA,2004-03-14,63.64
100m Breaststroke Men,CASADEI Giacomo,SMR,2002-05-23,64.07
100m Breaststroke Men,ERADZE Luka,GEO,2002-06-27,65.16
100m Breaststroke Men,HASSLING Emil,SWE,2000-06-24,65.69
100m Breaststroke Men,QARRI Even,ALB,2003-10-23,69.88
100m Breaststroke Men,KOLA Endi,ALB,2006-01-30,70.53999999999999
200m Breaststroke Men,KAMMINGA Arno,NED,1995-10-22,127.01
200m Breaststroke Men,MATTSSON Matti,FIN,1993-10-05,127.13
200m Breaststroke Men,WILBY James,GBR,1993-11-12,127.91
200m Breaststroke Men,MCKEE Anton Sveinn,ISL,1993-12-18,128.74
200m Breaststroke Men,SIDLAUSKAS Andrius,LTU,1997-04-06,129.2
200m Breaststroke Men,VIQUERAT Antoine,FRA,1998-10-05,129.54
200m Breaststroke Men,EPITROPOV Lyubomir E,BUL,1999-04-27,129.68
200m Breaststroke Men,WIEKIERA Dawid,POL,2002-11-04,129.99
200m Breaststroke Men,PIZZINI Luca,ITA,1989-04-08,130.12
200m Breaststroke Men,ZABOJNIK Matej,CZE,2000-08-03,130.4
200m Breaststroke Men,ROTHBAUER Christopher,AUT,1998-01-29,130.79
200m Breaststroke Men,CASTELLO Andrea,ITA,1998-08-29,130.96
200m Breaststroke Men,GREENE Darragh,IRL,1995-10-20,131.09
200m Breaststroke Men,CORBY Eoin,IRL,2002-01-16,131.34
200m Breaststroke Men,BUTLER Gregory,GBR,2000-12-31,131.52
200m Breaststroke Men,RAEISAENEN Daniel,SWE,1999-01-03,131.63
200m Breaststroke Men,THOMOGLOU Savvas,GRE,2001-11-09,131.67
200m Breaststroke Men,COLL MARTI Carles,ESP,2001-10-15,131.91
200m Breaststroke Men,POLONSKY Ron,ISR,2001-03-28,132.49
200m Breaststroke Men,MLADENOVIC Luka,AUT,2004-05-27,133.21
200m Breaststroke Men,OVCHINNIKOV Maksym,UKR,2003-05-18,133.33
200m Breaststroke Men,SAVICKAS Aleksas,LTU,2003-01-13,133.35
200m Breaststroke Men,ZOMBORI Gabor,HUN,2002-10-08,133.58
200m Breaststroke Men,HAARSAKER Christoffer To,NOR,1993-05-03,133.64
200m Breaststroke Men,LOPES Gabriel Jose,POR,1997-05-15,133.64
200m Breaststroke Men,TKACHUK Maksym,UKR,2003-07-04,133.75
200m Breaststroke Men,BOBROVS Daniils,LAT,1997-10-08,133.96
200m Breaststroke Men,KYZYMENKO David,UKR,2004-10-05,134.46
200m Breaststroke Men,VERRASZTO David,HUN,1988-08-22,136.14
200m Breaststroke Men,MALACHI Constantin,MDA,1997-04-11,136.25
200m Breaststroke Men,LULEK William,SWE,1998-05-23,136.84
200m Breaststroke Men,SVET Denis,MDA,2004-03-14,137.47
200m Breaststroke Men,CASADEI Giacomo,SMR,2002-05-23,139.81
200m Breaststroke Men,QARRI Even,ALB,2003-10-23,152.07
50m Butterfly Men,PROUD Benjamin,GBR,1994-09-21,22.76
50m Butterfly Men,CECCON Thomas,ITA,2001-01-27,22.79
50m Butterfly Men,SZABO Szebasztian,HUN,1996-03-11,22.91
50m Butterfly Men,GOVOROV Andriy,UKR,1992-04-10,22.97
50m Butterfly Men,PONTI Noe,SUI,2001-06-01,23.04
50m Butterfly Men,GROUSSET Maxime,FRA,1999-09-24,23.07
50m Butterfly Men,CZERNIAK Konrad,POL,1989-06-11,23.09
50m Butterfly Men,KORSTANJE Nyls,NED,1999-02-05,23.14
50m Butterfly Men,BUCHER Simon,AUT,2000-05-23,23.18
50m Butterfly Men,VERHOEVEN Thomas,NED,1997-04-18,23.22
50m Butterfly Men,RIBEIRO Diogo Matos,POR,2004-10-27,23.28
50m Butterfly Men,SMOLINSKI Pawel,POL,2001-10-10,23.32
50m Butterfly Men,LIA Nicholas,NOR,2001-02-13,23.33
50m Butterfly Men,CODIA Piero,ITA,1989-10-22,23.35
50m Butterfly Men,CHERUTI Meiron Amir,ISR,1997-10-19,23.38
50m Butterfly Men,GARGANI Lorenzo,ITA,2000-03-14,23.38
50m Butterfly Men,ZAITSEV Daniel,EST,1997-12-13,23.38
50m Butterfly Men,OSTROWSKI Karol,POL,1999-09-02,23.43
50m Butterfly Men,MCCUSKER Max,IRL,1999-09-11,23.44
50m Butterfly Men,BUKHOV Vladyslav,UKR,2002-07-05,23.47
50m Butterfly Men,PETERS Jacob,GBR,2000-08-20,23.47
50m Butterfly Men,MAJERSKI Jakub,POL,2000-08-18,23.49
50m Butterfly Men,SEFL Jan,CZE,1990-05-10,23.53
50m Butterfly Men,PIRON Thomas,FRA,2000-08-28,23.54
50m Butterfly Men,HENX Julien,LUX,1995-06-20,23.55
50m Butterfly Men,HOFF Oskar,SWE,1998-12-13,23.55
50m Butterfly Men,MILADINOV Josif,BUL,2003-06-23,23.59
50m Butterfly Men,RIVOLTA Matteo,ITA,1991-11-16,23.59
50m Butterfly Men,BEROL Julien,FRA,2001-09-09,23.6
50m Butterfly Men,GKOLOMEEV Kristian,GRE,1993-07-04,23.61
50m Butterfly Men,LOZANO MATEOS Alberto,ESP,1998-08-18,23.64
50m Butterfly Men,MOLLA YANES Mario,ESP,2002-04-13,23.7
50m Butterfly Men,BILAS Stergios-Marios,GRE,2001-11-21,23.71
50m Butterfly Men,SIMONS Kenzo,NED,2001-04-13,23.74
50m Butterfly Men,NIEWOLD Sean,NED,2002-04-20,23.77
50m Butterfly Men,HANSEN Tobias Dan,DEN,2002-01-01,23.81
50m Butterfly Men,SECCHI Clement,FRA,2000-05-04,23.84
50m Butterfly Men,PAPADOPOULOS Christos,GRE,1997-02-01,23.92
50m Butterfly Men,HALAS Adam,SVK,1998-08-02,23.94
50m Butterfly Men,GIGLER Heiko,AUT,1996-06-17,23.96
50m Butterfly Men,NESTERKIN Valentyn,UKR,2001-02-14,23.97
50m Butterfly Men,MUNK Julius,DEN,2000-03-06,24.04
50m Butterfly Men,HYLAND Brendan,IRL,1994-09-23,24.07
50m Butterfly Men,MILJENIC Nikola,CRO,1998-05-19,24.09
50m Butterfly Men,STAMOU Konstantinos Emma,GRE,2003-07-10,24.09
50m Butterfly Men,LOMERO ARENAS Bernat,AND,1997-12-28,24.33
50m Butterfly Men,AHTIAINEN Alex,EST,2001-01-27,24.36
50m Butterfly Men,LIUKKONEN Ari-Pekka,FIN,1989-02-09,24.39
50m Butterfly Men,MATIC Djurdje,SRB,2000-07-05,24.45
50m Butterfly Men,LOMERO ARENAS Tomas,AND,2001-07-05,24.47
50m Butterfly Men,LINDEBLAD Malthe,DEN,2001-01-01,24.48
50m Butterfly Men,FRANTA Tomas,CZE,1998-04-18,24.54
50m Butterfly Men,BARSEGHYAN Artur,ARM,2002-03-29,24.62
50m Butterfly Men,STATKEVICIUS Simon E,ISL,2003-12-24,24.75
50m Butterfly Men,IVANOV Antani A,BUL,1999-07-17,24.97
50m Butterfly Men,SPITERI Rudi,MLT,2002-04-16,25.4
50m Butterfly Men,REBOSIO Alessandro,SMR,2004-04-07,25.65
50m Butterfly Men,KUKHALASHVILI Luka,GEO,2002-10-17,25.77
50m Butterfly Men,UJKASHEJ Drini,ALB,2005-06-13,29.48
50m Butterfly Men,KHNYKIN Oleksii,UKR,1999-05-02,NA
50m Butterfly Men,VALIZADA Ramil,AZE,2004-02-16,NA
100m Butterfly Men,MILAK Kristof,HUN,2000-02-20,49.68
100m Butterfly Men,PONTI Noe,SUI,2001-06-01,50.74
100m Butterfly Men,MAJERSKI Jakub,POL,2000-08-18,50.92
100m Butterfly Men,MILADINOV Josif,BUL,2003-06-23,50.93
100m Butterfly Men,BUCHER Simon,AUT,2000-05-23,51.18
100m Butterfly Men,BURDISSO Federico,ITA,2001-09-20,51.39
100m Butterfly Men,KORSTANJE Nyls,NED,1999-02-05,51.41
100m Butterfly Men,PETERS Jacob,GBR,2000-08-20,51.5
100m Butterfly Men,CODIA Piero,ITA,1989-10-22,51.65
100m Butterfly Men,RIVOLTA Matteo,ITA,1991-11-16,51.66
100m Butterfly Men,KOS Hubert,HUN,2003-03-28,51.88
100m Butterfly Men,SEFL Jan,CZE,1990-05-10,51.89
100m Butterfly Men,IVANOV Antani A,BUL,1999-07-17,51.93
100m Butterfly Men,JASKIEWICZ Adrian,POL,2002-12-02,52.11
100m Butterfly Men,ZAITSEV Daniel,EST,1997-12-13,52.23
100m Butterfly Men,MILDRED Edward,GBR,2003-04-10,52.26
100m Butterfly Men,RIBEIRO Diogo Matos,POR,2004-10-27,52.31
100m Butterfly Men,SECCHI Clement,FRA,2000-05-04,52.31
100m Butterfly Men,LOZANO MATEOS Alberto,ESP,1998-08-18,52.37
100m Butterfly Men,MILJENIC Nikola,CRO,1998-05-19,52.38
100m Butterfly Men,RYAN Shane,IRL,1994-01-27,52.52
100m Butterfly Men,GARGANI Lorenzo,ITA,2000-03-14,52.63
100m Butterfly Men,MCCUSKER Max,IRL,1999-09-11,52.63
100m Butterfly Men,AHTIAINEN Alex,EST,2001-01-27,52.73
100m Butterfly Men,KAMMANN Bjoern,GER,2001-04-30,52.77
100m Butterfly Men,STAMOU Konstantinos Emma,GRE,2003-07-10,52.77
100m Butterfly Men,MATIC Djurdje,SRB,2000-07-05,52.82
100m Butterfly Men,ZIRK Kregor,EST,1999-07-03,52.82
100m Butterfly Men,MOLLA YANES Mario,ESP,2002-04-13,52.83
100m Butterfly Men,CHOWANIEC Mateusz,POL,2003-10-03,52.86
100m Butterfly Men,VAZAIOS Andreas,GRE,1994-05-09,52.95
100m Butterfly Men,HYLAND Brendan,IRL,1994-09-23,53.13
100m Butterfly Men,HOFF Oskar,SWE,1998-12-13,53.24
100m Butterfly Men,LELLE Armin Evert,EST,1999-06-21,53.46
100m Butterfly Men,GONZALEZ ALVAREZ Arbidel,ESP,2002-08-31,53.5
100m Butterfly Men,KESIL' Denys,UKR,2000-10-26,53.51
100m Butterfly Men,CHMIELEWSKI Michal,POL,2004-11-18,53.54
100m Butterfly Men,ANDREOPOULOS Theodoros,GRE,2002-02-10,53.68
100m Butterfly Men,NESTERKIN Valentyn,UKR,2001-02-14,53.69
100m Butterfly Men,MUNK Julius,DEN,2000-03-06,53.86
100m Butterfly Men,HALAS Adam,SVK,1998-08-02,53.88
100m Butterfly Men,KHNYKIN Oleksii,UKR,1999-05-02,54.04
100m Butterfly Men,HANSEN Tobias Dan,DEN,2002-01-01,54.1
100m Butterfly Men,PIRON Thomas,FRA,2000-08-28,54.28
100m Butterfly Men,MITSIN Petar,BUL,2005-08-19,54.51
100m Butterfly Men,BARSEGHYAN Artur,ARM,2002-03-29,54.62
100m Butterfly Men,GEMOV Ondrej,CZE,1999-06-12,54.69
100m Butterfly Men,WILBY Mason J,GBR,1999-11-18,55.02
100m Butterfly Men,LOMERO ARENAS Tomas,AND,2001-07-05,55.04
100m Butterfly Men,HASSLING Emil,SWE,2000-06-24,55.18
100m Butterfly Men,LOMERO ARENAS Bernat,AND,1997-12-28,55.71
100m Butterfly Men,STATKEVICIUS Simon E,ISL,2003-12-24,55.9
100m Butterfly Men,KERMANS Ronens,LAT,2004-04-15,56.17
100m Butterfly Men,REBOSIO Alessandro,SMR,2004-04-07,56.42
100m Butterfly Men,KOLA Endi,ALB,2006-01-30,59.75
200m Butterfly Men,MILAK Kristof,HUN,2000-02-20,110.34
200m Butterfly Men,PONTI Noe,SUI,2001-06-01,114.2
200m Butterfly Men,BURDISSO Federico,ITA,2001-09-20,114.28
200m Butterfly Men,IVANOV Antani A,BUL,1999-07-17,114.5
200m Butterfly Men,RAZZETTI Alberto,ITA,1999-06-02,114.87
200m Butterfly Men,CHMIELEWSKI Krzysztof,POL,2004-11-18,115.01
200m Butterfly Men,CARINI Giacomo,ITA,1997-07-02,115.33
200m Butterfly Men,ZIRK Kregor,EST,1999-07-03,115.62
200m Butterfly Men,MARTON Richard,HUN,1999-10-07,116.23
200m Butterfly Men,KESIL' Denys,UKR,2000-10-26,116.37
200m Butterfly Men,CHMIELEWSKI Michal,POL,2004-11-18,116.66
200m Butterfly Men,ZUBIK Jan,POL,2003-12-14,116.96
200m Butterfly Men,FARACI Claudio Antonino,ITA,2001-02-05,117.09
200m Butterfly Men,WILBY Mason J,GBR,1999-11-18,117.31
200m Butterfly Men,GEMOV Ondrej,CZE,1999-06-12,117.7
200m Butterfly Men,GONZALEZ ALVAREZ Arbidel,ESP,2002-08-31,117.79
200m Butterfly Men,PONS RAMON Joan Lluis,ESP,1996-12-09,117.79
200m Butterfly Men,MILDRED Edward,GBR,2003-04-10,118
200m Butterfly Men,MITSIN Petar,BUL,2005-08-19,118.46
200m Butterfly Men,VERRASZTO David,HUN,1988-08-22,118.69
200m Butterfly Men,JOENTVEDT Jon,NOR,2003-07-28,118.9
200m Butterfly Men,JASKIEWICZ Adrian,POL,2002-12-02,119.39
200m Butterfly Men,SISKOS Apostolos,GRE,2005-06-24,120.03
200m Butterfly Men,TOSCAN Marius,SUI,2002-01-17,120.15
200m Butterfly Men,"NAGY Richard",SVK,1993-03-09,120.83
200m Butterfly Men,CUSTER Liam,IRL,2004-04-10,121.09
200m Butterfly Men,MC GEEVER Finn,IRL,2000-10-20,121.98
200m Butterfly Men,REBOSIO Alessandro,SMR,2004-04-07,126.18
200m Individual Medley Men,DESPLANCHES Jeremy,SUI,1994-08-07,116.17
200m Individual Medley Men,DEAN Thomas,GBR,2000-05-02,116.77
200m Individual Medley Men,KOS Hubert,HUN,2003-03-28,116.99
200m Individual Medley Men,RAZZETTI Alberto,ITA,1999-06-02,117.25
200m Individual Medley Men,POLONSKY Ron,ISR,2001-03-28,117.99
200m Individual Medley Men,VAZAIOS Andreas,GRE,1994-05-09,118.35
200m Individual Medley Men,LOPES Gabriel Jose,POR,1997-05-15,118.56
200m Individual Medley Men,REITSHAMMER Bernhard,AUT,1994-06-17,119.56
200m Individual Medley Men,TESIC Enzo,FRA,2000-01-07,119.68
200m Individual Medley Men,MATTEAZZI Pier Andrea,ITA,1997-12-05,120.24
200m Individual Medley Men,COLL MARTI Carles,ESP,2001-10-15,120.3
200m Individual Medley Men,"NAUMENKO Vadym",UKR,2003-01-23,120.65
200m Individual Medley Men,MATTENET Emilien,FRA,2000-11-08,121.23
200m Individual Medley Men,BEN SHITRIT Eitan,ISR,2003-06-02,121.81
200m Individual Medley Men,GIOURTZIDIS Daniil,GRE,2002-12-16,122.14
200m Individual Medley Men,LULEK William,SWE,1998-05-23,123.25
200m Individual Medley Men,"NAGY Richard",SVK,1993-03-09,123.35
200m Individual Medley Men,HASSLING Emil,SWE,2000-06-24,123.53
200m Individual Medley Men,CORBY Eoin,IRL,2002-01-16,123.56
200m Individual Medley Men,JABLCNIK Frantisek,SVK,2003-10-23,123.58
200m Individual Medley Men,FERS ERZEN Anze,SLO,1999-03-03,123.79
200m Individual Medley Men,MLADENOVIC Luka,AUT,2004-05-27,123.79
200m Individual Medley Men,ZUBIK Jan,POL,2003-12-14,125.62
200m Individual Medley Men,TOSCAN Marius,SUI,2002-01-17,125.86
200m Individual Medley Men,KERMANS Ronens,LAT,2004-04-15,126.52
200m Individual Medley Men,CUSTER Liam,IRL,2004-04-10,127.1
200m Individual Medley Men,GERGELY Mihai,ROU,2003-01-26,127.14
200m Individual Medley Men,WAREING Thomas,MLT,1999-11-09,127.95
200m Individual Medley Men,LAVDANITI Zhulian,ALB,2003-03-17,128.7
200m Individual Medley Men,KOLA Endi,ALB,2006-01-30,139.38
400m Individual Medley Men,VERRASZTO David,HUN,1988-08-22,249.57
400m Individual Medley Men,RAZZETTI Alberto,ITA,1999-06-02,249.91
400m Individual Medley Men,PONS RAMON Joan Lluis,ESP,1996-12-09,252.67
400m Individual Medley Men,MATTEAZZI Pier Andrea,ITA,1997-12-05,252.79
400m Individual Medley Men,KOS Hubert,HUN,2003-03-28,253.5
400m Individual Medley Men,WILLIAMS Brodie,GBR,1999-03-18,253.89
400m Individual Medley Men,MATTENET Emilien,FRA,2000-11-08,255.69
400m Individual Medley Men,"NAGY Richard",SVK,1993-03-09,258.29
400m Individual Medley Men,ZOBEL Marius,GER,1999-11-18,258.68
400m Individual Medley Men,BEN SHITRIT Eitan,ISR,2003-06-02,259.07
400m Individual Medley Men,ZELLMANN Poul,GER,1995-09-02,259.12
400m Individual Medley Men,FERS ERZEN Anze,SLO,1999-03-03,259.63
400m Individual Medley Men,GIOURTZIDIS Daniil,GRE,2002-12-16,260
400m Individual Medley Men,JANSEN Thomas,NED,2001-06-06,260.73
400m Individual Medley Men,TOSCAN Marius,SUI,2002-01-17,261.31
400m Individual Medley Men,JOENTVEDT Jon,NOR,2003-07-28,261.71
400m Individual Medley Men,CHMIELEWSKI Krzysztof,POL,2004-11-18,262.8
400m Individual Medley Men,LULEK William,SWE,1998-05-23,263.52
400m Individual Medley Men,CUSTER Liam,IRL,2004-04-10,264.5
400m Individual Medley Men,JABLCNIK Frantisek,SVK,2003-10-23,264.72
400m Individual Medley Men,LAVDANITI Zhulian,ALB,2003-03-17,300.82
